model,observation_iteration,outcome,fit_status,final_rows,final_events,current_margin_auc,current_margin_average_precision,current_margin_top_decile_lift,margin_unordered_auc,margin_unordered_average_precision,margin_unordered_top_decile_lift,margin_ordered_auc,margin_ordered_average_precision,margin_ordered_top_decile_lift,logit_history_auc,logit_history_average_precision,logit_history_top_decile_lift,raw_hidden_auc,raw_hidden_average_precision,raw_hidden_top_decile_lift,residual_pca_auc,residual_pca_average_precision,residual_pca_top_decile_lift
stable_plain,32,final_loss,discovery split has only one class,1075,0,nan,nan,nan,,,,,,,,,,,,,,,
stable_plain,64,final_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
stable_plain,128,final_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
stable_plain,256,final_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
stable_plain,512,final_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
stable_plain,768,final_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
collapsed_plain,32,final_loss,fit,936,210,0.7090646727010363,0.3368027214989381,1.280243161094225,0.7612357339630067,0.3895463442811745,1.8018237082066868,0.7318837727928637,0.3837085981710801,1.6595744680851063,0.7720844811753903,0.3982192052965813,1.7544072948328266,0.8550898596353141,0.5404678818498362,2.7975683890577505,0.854355240718877,0.5406378612574522,2.370820668693009
collapsed_plain,64,final_loss,fit,993,224,0.7646526100687349,0.37135503847774265,1.1525892857142856,0.7716538175738435,0.3796889290631173,1.4185714285714286,0.7344707876648708,0.37704308458460273,1.6845535714285715,0.8001869310793238,0.41647266984588666,1.6845535714285715,0.8502577558981981,0.576297452742903,2.9701339285714288,0.8533868196173138,0.5557752002924105,2.8814732142857142
collapsed_plain,128,final_loss,fit,1031,222,0.7954877003084667,0.40654718105583415,2.054140679140679,0.8282720297553425,0.46557607319503713,2.500693000693001,0.8354547378033162,0.48534291219693176,2.7686243936243935,0.8358834730899007,0.48027020723172,2.590003465003465,0.88483724763082,0.6026660785626404,3.125866250866251,0.8792191449793427,0.5840209884608725,3.125866250866251
collapsed_plain,256,final_loss,fit,1045,222,0.8306404825238362,0.4515865375526093,2.4656799656799655,0.8303339791796657,0.44956681926548536,2.4208494208494207,0.8409466574715664,0.48365635058654305,2.4208494208494207,0.840027147439055,0.506557910635442,2.376018876018876,0.8833152715291233,0.6252966688091163,3.2277992277992276,0.890638512145195,0.6456789550678947,3.182968682968683
