source_model,target_model,mode,baseline_r2,full_r2,state_partial_r2,baseline_sse,full_sse
stable_plain,stable_plain,current_constraint,0.9804496844527923,0.9805290744136715,0.00406080202068948,0.0033584338708695528,0.0033447959358203737
stable_plain,stable_plain,future_improvement,0.3725172733799571,0.37174865201145,-0.0012249283301346559,0.11102044778299172,0.11115643987470535
stable_plain,collapsed_plain,current_constraint,0.3634625740063605,0.34482130944740996,-0.029285417946715908,0.5159678075452319,0.5310781404362447
stable_plain,collapsed_plain,future_improvement,0.14405205972288448,0.16017576626188845,0.01883725140314485,0.31197586451750353,0.3060990967258739
stable_plain,late_state_ce,current_constraint,0.9879715914415951,0.987128386932394,-0.07010108653250025,0.0015749515250666165,0.0016853573382098047
stable_plain,late_state_ce,future_improvement,0.36229982370522806,0.34112441789697034,-0.033205896117660005,0.11686855234497319,0.12074927735356168
stable_plain,combined_margin,current_constraint,0.9834398967457487,0.9830086747398006,-0.026039813842186232,0.0025517186773028775,0.002618164956637474
stable_plain,combined_margin,future_improvement,0.35754804175863697,0.31451278681289596,-0.06698595030131904,0.11442228286369784,0.12208696821696896
collapsed_plain,stable_plain,current_constraint,0.7632457810380946,-30.38158988589363,-131.54923195663534,0.04067061660017524,5.390858993556011
collapsed_plain,stable_plain,future_improvement,0.19818406502138797,0.06509775207794288,-0.16598112751026228,0.14186520260145163,0.16541214888371236
collapsed_plain,collapsed_plain,current_constraint,0.47099031360530297,0.6020521944554429,0.2477494915893732,0.42880741479290474,0.3225705957882091
collapsed_plain,collapsed_plain,future_improvement,0.29868752769366413,0.36699684496674867,0.09740211385153685,0.25561433651425364,0.23071695980700724
collapsed_plain,late_state_ce,current_constraint,0.700747225474527,-0.24175251559657118,-3.1495104517096824,0.039182956858409876,0.16259008901286134
collapsed_plain,late_state_ce,future_improvement,0.23407727603261497,0.1617618289117302,-0.09441611386890258,0.14036734391117753,0.1536202830373707
collapsed_plain,combined_margin,current_constraint,0.738468655649112,-4.352940581796784,-19.46768273639477,0.04029892844472257,0.8248256820232562
collapsed_plain,combined_margin,future_improvement,0.18997362537400586,0.005581743846008846,-0.22763688603736454,0.14426770091607424,0.17710835110837922
late_state_ce,stable_plain,current_constraint,0.9807221717021899,0.9324632218154627,-2.5033395432933188,0.0033116248868637933,0.01160174641870419
late_state_ce,stable_plain,future_improvement,0.36714543922920695,-23.113586807383996,-37.102888565762335,0.11197088579113369,4.266414183909268
late_state_ce,collapsed_plain,current_constraint,0.36442233298549076,0.3891782781865438,0.03895030691896206,0.5151898411350704,0.49512303870132807
late_state_ce,collapsed_plain,future_improvement,0.17392379714650963,-0.07220487193187974,-0.29794910957148324,0.30108821508363937,0.39079718067027697
late_state_ce,late_state_ce,current_constraint,0.9870358700046301,0.9871591651414607,0.009510482915144003,0.0016974711332948924,0.0016813273630827412
late_state_ce,late_state_ce,future_improvement,0.37684939558539465,0.3837499744005515,0.011073693528130812,0.11420211525418554,0.11293747602959642
late_state_ce,combined_margin,current_constraint,0.9817984947357384,0.9470278337750827,-1.9103178806275771,0.0028046395740871574,0.008162392701181567
late_state_ce,combined_margin,future_improvement,0.3599713752953265,-2.0999122269076698,-3.8433962283140897,0.11399068116671304,0.5521020352258119
combined_margin,stable_plain,current_constraint,0.980746694067866,0.9605469952872828,-1.0491548231657033,0.0033074123337066925,0.006777399935812804
combined_margin,stable_plain,future_improvement,0.3582618229419203,-0.22902769445438476,-0.9151544015794986,0.11354266301512099,0.2174517308404667
combined_margin,collapsed_plain,current_constraint,0.3646565811937006,0.3532501155535146,-0.017953228604487448,0.5149999630077587,0.5242458750749396
combined_margin,collapsed_plain,future_improvement,0.18692081447003395,-0.9451774206558148,-1.3923591395196588,0.2963510628283951,0.7089781736638756
combined_margin,late_state_ce,current_constraint,0.9878698419802812,0.9814930484964616,-0.5256974784214234,0.0015882741910280276,0.002423225928293288
combined_margin,late_state_ce,future_improvement,0.3704868577883329,0.1618883364605791,-0.3313648394930806,0.11536815002918467,0.15359709854621909
combined_margin,combined_margin,current_constraint,0.9832984809897732,0.9833736760774623,0.0045022903391610525,0.0025735091951666297,0.0025619225095794887
combined_margin,combined_margin,future_improvement,0.3484201375015329,0.35238689438348425,0.006087905888836009,0.11604798518970232,0.11534149597727837
